JOIN RESULT FROM pd.read_sql()
================================================================================
     category_name                                                                     title  rating  price_gbp  price_inr  in_stock
           Fiction                                                             When I'm Gone       3      51.96    5481.78      True
           Fiction                                                       Memoirs of a Geisha       3      49.67    5240.19      True
           Fiction                                                                  11/22/63       3      48.48    5114.64      True
           Fiction                                                                  The Firm       3      45.56    4806.58      True
           Fiction                                                          Take Me with You       3      45.21    4769.66      True
           Fiction                                                      The Bette Davis Club       3      30.66    3234.63      True
           Fiction                                          Eligible (The Austen Project #4)       3      27.09    2858.00      True
           Fiction                                              Still Life with Bread Crumbs       3      26.41    2786.26      True
           Fiction                                       The First Hostage (J.B. Collins #2)       3      25.85    2727.18      True
           Fiction                               Cometh the Hour (The Clifton Chronicles #6)       3      25.01    2638.56      True
           Fiction                                                 The Little Paris Bookshop       3      24.73    2609.02      True
           Fiction                                                             My Mrs. Brown       3      24.48    2582.64      True
           Fiction                                                       Three-Martini Lunch       3      23.21    2448.66      True
           Fiction                                                           Balloon Animals       3      17.03    1796.67      True
           Fiction                                                        The Course of Love       3      16.78    1770.29      True
           Fiction                                                                Daredevils       3      16.34    1723.87      True
           Fiction                                                          Lila (Gilead #3)       3      12.47    1315.58      True
           Fiction                                                           Miller's Valley       2      58.54    6175.97      True
           Fiction                                                          The Dinner Party       2      56.54    5964.97      True
           Fiction                                                           The Expatriates       2      44.58    4703.19      True
           Fiction                                     The Da Vinci Code (Robert Langdon #2)       2      22.96    2422.28      True
           Fiction                                                    Tuesday Nights in 1980       2      21.04    2219.72      True
           Fiction                                                          Mothering Sunday       2      13.34    1407.37      True
           Fiction                                                 The Improbability of Love       1      59.45    6271.98      True
           Fiction                                            The High Mountains of Portugal       1      51.15    5396.32      True
           Fiction                                                                Soumission       1      50.10    5285.55      True
           Fiction                                               Lies and Other Acts of Love       1      45.14    4762.27      True
           Fiction                                          Jurassic Park (Jurassic Park #1)       1      44.97    4744.34      True
           Fiction                                                    My Name Is Lucy Barton       1      41.56    4384.58      True
           Fiction                                                          A Man Called Ove       1      39.72    4190.46      True
           Fiction                                     Mr. Mercedes (Bill Hodges Trilogy #1)       1      28.90    3048.95      True
           Fiction                                                                 The Shack       1      28.03    2957.16      True
           Fiction                                                            The Infinities       1      27.41    2891.76      True
           Fiction                                                           Big Little Lies       1      22.11    2332.60      True
           Fiction                                                       The Art of Fielding       1      22.10    2331.55      True
           Fiction                                          Me Before You (Me Before You #1)       1      19.02    2006.61      True
Historical Fiction                                   A Flight of Arrows (The Pathfinders #2)       5      55.53    5858.42      True
Historical Fiction                                                       While You Were Mine       5      41.32    4359.26      True
Historical Fiction                                                              The Red Tent       5      35.66    3762.13      True
Historical Fiction                                                              Mrs. Houdini       5      30.25    3191.38      True
Historical Fiction                                                     The Passion of Dolssa       5      28.32    2987.76      True
Historical Fiction                                                    Voyager (Outlander #3)       5      21.07    2222.89      True
Historical Fiction                                                    Between Shades of Gray       5      20.79    2193.34      True
Historical Fiction                         A Spy's Devotion (The Regency Spies of London #1)       5      16.97    1790.33      True
Historical Fiction                                                         A Paris Apartment       4      39.01    4115.55      True
Historical Fiction                           World Without End (The Pillars of the Earth #2)       4      32.97    3478.34      True
Historical Fiction                                                 The Marriage of Opposites       4      28.08    2962.44      True
Historical Fiction                                                     Lost Among the Living       4      27.70    2922.35      True
Historical Fiction                           Glory over Everything: Beyond The Kitchen House       3      45.84    4836.12      True
Historical Fiction                                                         The Secret Healer       3      34.56    3646.08      True
Historical Fiction Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton       3      29.69    3132.30      True
Historical Fiction                                                                  Starlark       3      25.83    2725.06      True
Historical Fiction                                The Constant Princess (The Tudor Court #1)       3      16.62    1753.41      True
Historical Fiction                                          The Last Painting of Sara de Vos       2      55.55    5860.52      True
Historical Fiction                                                     Girl in the Blue Coat       2      46.83    4940.56      True
Historical Fiction                                                      Love, Lies and Spies       2      20.55    2168.02      True
Historical Fiction                                                               Lilac Girls       2      17.28    1823.04      True
Historical Fiction                                                        Tipping the Velvet       1      53.74    5669.57      True
Historical Fiction                         The Guernsey Literary and Potato Peel Pie Society       1      49.53    5225.42      True
Historical Fiction                                                    The Invention of Wings       1      37.34    3939.37      True
Historical Fiction                                                     The House by the Lake       1      36.95    3898.23      True
Historical Fiction                                                 Girl With a Pearl Earring       1      26.77    2824.24      True
           Mystery  The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1)       5      52.30    5517.65      True
           Mystery                                    A Time of Torment (Charlie Parker #14)       5      48.35    5100.92      True
           Mystery         What Happened on Beale Street (Secrets of the South Mysteries #2)       5      25.37    2676.54      True
           Mystery                                         The Silkworm (Cormoran Strike #2)       5      23.05    2431.78      True
           Mystery                                                         The Girl You Lost       5      12.29    1296.59      True
           Mystery    The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1)       4      57.70    6087.35      True
           Mystery                                                       The Past Never Ends       4      56.50    5960.75      True
           Mystery                     Murder at the 42nd Street Library (Raymond Ambler #1)       4      54.36    5734.98      True
           Mystery                                                             Sharp Objects       4      47.82    5045.01      True
           Mystery                           The Murder of Roger Ackroyd (Hercule Poirot #4)       4      44.10    4652.55      True
           Mystery                       The Mysterious Affair at Styles (Hercule Poirot #1)       4      24.80    2616.40      True
           Mystery                          Delivering the Truth (Quaker Midwife Mystery #1)       4      20.89    2203.90      True
           Mystery                                             Boar Island (Anna Pigeon #19)       3      59.48    6275.14      True
           Mystery                                                                The Exiled       3      43.45    4583.98      True
           Mystery                                                               Most Wanted       3      35.28    3722.04      True
           Mystery                                          Poisonous (Max Revere Novels #3)       3      26.80    2827.40      True
           Mystery                                        Extreme Prey (Lucas Davenport #26)       3      25.40    2679.70      True
           Mystery                                      Blood Defense (Samantha Brinkman #1)       3      20.30    2141.65      True
           Mystery                                 The Girl In The Ice (DCI Erika Foster #1)       3      15.85    1672.18      True
           Mystery                                                         Playing with Fire       3      13.71    1446.41      True
           Mystery                                            The Last Mile (Amos Decker #2)       2      54.21    5719.16      True
           Mystery                                     In the Woods (Dublin Murder Squad #1)       2      38.38    4049.09      True
           Mystery                                                                 The Widow       2      27.26    2875.93      True
           Mystery                                       Career of Evil (Cormoran Strike #3)       2      24.72    2607.96      True
           Mystery                                   A Study in Scarlet (Sherlock Holmes #1)       2      16.73    1765.02      True
           Mystery                                       1st to Die (Women's Murder Club #1)       1      53.98    5694.89      True
           Mystery                                                      In a Dark, Dark Wood       1      19.63    2070.96      True
           Mystery                                 The Cuckoo's Calling (Cormoran Strike #1)       1      19.21    2026.66      True
           Mystery                                                          A Murder in Time       1      16.64    1755.52      True
           Mystery                                    That Darkness (Gardiner and Renner #1)       1      13.92    1468.56      True
           Mystery                                                Hide Away (Eve Duncan #20)       1      11.84    1249.12      True
           Mystery                                      Tastes Like Fear (DI Marnie Rome #3)       1      10.69    1127.79      True

JOIN RESULT FROM pd.merge()
================================================================================
     category_name                                                                     title  rating  price_gbp  price_inr  in_stock
           Fiction                                                          Digital Fortress       5      58.00    6119.00      True
           Fiction                                             Kitchens of the Great Midwest       5      57.20    6034.60      True
           Fiction                                  Finders Keepers (Bill Hodges Trilogy #2)       5      53.53    5647.42      True
           Fiction                                                      The Husband's Secret       5      52.51    5539.80      True
           Fiction                                      The Regional Office Is Under Attack!       5      51.36    5418.48      True
           Fiction                                              We Love You, Charlie Freeman       5      50.27    5303.48      True
           Fiction                                  Crazy Rich Asians (Crazy Rich Asians #1)       5      49.13    5183.22      True
           Fiction                                               Private Paris (Private #10)       5      47.61    5022.85      True
           Fiction                                   The Silent Sister (Riley MacPherson #1)       5      46.29    4883.60      True
           Fiction                                               Inferno (Robert Langdon #4)       5      41.00    4325.50      True
           Fiction                                                              Bright Lines       5      39.07    4121.88      True
           Fiction                                                                Siddhartha       5      34.22    3610.21      True
           Fiction                                                           The Time Keeper       5      27.88    2941.34      True
           Fiction                                                            Atlas Shrugged       5      26.58    2804.19      True
           Fiction                                                                    Thirst       5      17.27    1821.98      True
           Fiction                                                           The Silent Wife       5      12.34    1301.87      True
           Fiction                                                        Dear Mr. Knightley       5      11.21    1182.66      True
           Fiction                                                                     Shtum       4      55.84    5891.12      True
           Fiction                                                     The Testament of Mary       4      52.67    5556.68      True
           Fiction                                     The Bourne Identity (Jason Bourne #1)       4      42.78    4513.29      True
           Fiction                                                           The Vacationers       4      42.15    4446.82      True
           Fiction                                                           Deception Point       4      40.32    4253.76      True
           Fiction                                                               Sister Dear       4      40.20    4241.10      True
           Fiction                                                           The Nightingale       4      26.26    2770.43      True
           Fiction                                                         Hystopia: A Novel       4      21.96    2316.78      True
           Fiction                                                      Eight Hundred Grapes       4      14.39    1518.14      True
           Fiction                                                 I Am Pilgrim (Pilgrim #1)       4      10.60    1118.30      True
           Fiction                                         Last One Home (New Beginnings #1)       3      59.98    6327.89      True
           Fiction                         The Murder That Never Was (Forensic Instincts #5)       3      54.11    5708.60      True
           Fiction                                                             When I'm Gone       3      51.96    5481.78      True
           Fiction                                                       Memoirs of a Geisha       3      49.67    5240.19      True
           Fiction                                                                  11/22/63       3      48.48    5114.64      True
           Fiction                                                                  The Firm       3      45.56    4806.58      True
           Fiction                                                          Take Me with You       3      45.21    4769.66      True
           Fiction                                                      The Bette Davis Club       3      30.66    3234.63      True
           Fiction                                          Eligible (The Austen Project #4)       3      27.09    2858.00      True
           Fiction                                              Still Life with Bread Crumbs       3      26.41    2786.26      True
           Fiction                                       The First Hostage (J.B. Collins #2)       3      25.85    2727.18      True
           Fiction                               Cometh the Hour (The Clifton Chronicles #6)       3      25.01    2638.56      True
           Fiction                                                 The Little Paris Bookshop       3      24.73    2609.02      True
           Fiction                                                             My Mrs. Brown       3      24.48    2582.64      True
           Fiction                                                       Three-Martini Lunch       3      23.21    2448.66      True
           Fiction                                                           Balloon Animals       3      17.03    1796.67      True
           Fiction                                                        The Course of Love       3      16.78    1770.29      True
           Fiction                                                                Daredevils       3      16.34    1723.87      True
           Fiction                                                          Lila (Gilead #3)       3      12.47    1315.58      True
           Fiction                                                           Miller's Valley       2      58.54    6175.97      True
           Fiction                                                          The Dinner Party       2      56.54    5964.97      True
           Fiction                                                           The Expatriates       2      44.58    4703.19      True
           Fiction                                     The Da Vinci Code (Robert Langdon #2)       2      22.96    2422.28      True
           Fiction                                                    Tuesday Nights in 1980       2      21.04    2219.72      True
           Fiction                                                          Mothering Sunday       2      13.34    1407.37      True
           Fiction                                                 The Improbability of Love       1      59.45    6271.98      True
           Fiction                                            The High Mountains of Portugal       1      51.15    5396.32      True
           Fiction                                                                Soumission       1      50.10    5285.55      True
           Fiction                                               Lies and Other Acts of Love       1      45.14    4762.27      True
           Fiction                                          Jurassic Park (Jurassic Park #1)       1      44.97    4744.34      True
           Fiction                                                    My Name Is Lucy Barton       1      41.56    4384.58      True
           Fiction                                                          A Man Called Ove       1      39.72    4190.46      True
           Fiction                                     Mr. Mercedes (Bill Hodges Trilogy #1)       1      28.90    3048.95      True
           Fiction                                                                 The Shack       1      28.03    2957.16      True
           Fiction                                                            The Infinities       1      27.41    2891.76      True
           Fiction                                                           Big Little Lies       1      22.11    2332.60      True
           Fiction                                                       The Art of Fielding       1      22.10    2331.55      True
           Fiction                                          Me Before You (Me Before You #1)       1      19.02    2006.61      True
Historical Fiction                                   A Flight of Arrows (The Pathfinders #2)       5      55.53    5858.42      True
Historical Fiction                                                       While You Were Mine       5      41.32    4359.26      True
Historical Fiction                                                              The Red Tent       5      35.66    3762.13      True
Historical Fiction                                                              Mrs. Houdini       5      30.25    3191.38      True
Historical Fiction                                                     The Passion of Dolssa       5      28.32    2987.76      True
Historical Fiction                                                    Voyager (Outlander #3)       5      21.07    2222.89      True
Historical Fiction                                                    Between Shades of Gray       5      20.79    2193.34      True
Historical Fiction                         A Spy's Devotion (The Regency Spies of London #1)       5      16.97    1790.33      True
Historical Fiction                                                         A Paris Apartment       4      39.01    4115.55      True
Historical Fiction                           World Without End (The Pillars of the Earth #2)       4      32.97    3478.34      True
Historical Fiction                                                 The Marriage of Opposites       4      28.08    2962.44      True
Historical Fiction                                                     Lost Among the Living       4      27.70    2922.35      True
Historical Fiction                           Glory over Everything: Beyond The Kitchen House       3      45.84    4836.12      True
Historical Fiction                                                         The Secret Healer       3      34.56    3646.08      True
Historical Fiction Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton       3      29.69    3132.30      True
Historical Fiction                                                                  Starlark       3      25.83    2725.06      True
Historical Fiction                                The Constant Princess (The Tudor Court #1)       3      16.62    1753.41      True
Historical Fiction                                          The Last Painting of Sara de Vos       2      55.55    5860.52      True
Historical Fiction                                                     Girl in the Blue Coat       2      46.83    4940.56      True
Historical Fiction                                                      Love, Lies and Spies       2      20.55    2168.02      True
Historical Fiction                                                               Lilac Girls       2      17.28    1823.04      True
Historical Fiction                                                        Tipping the Velvet       1      53.74    5669.57      True
Historical Fiction                         The Guernsey Literary and Potato Peel Pie Society       1      49.53    5225.42      True
Historical Fiction                                                    The Invention of Wings       1      37.34    3939.37      True
Historical Fiction                                                     The House by the Lake       1      36.95    3898.23      True
Historical Fiction                                                 Girl With a Pearl Earring       1      26.77    2824.24      True
           Mystery  The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1)       5      52.30    5517.65      True
           Mystery                                    A Time of Torment (Charlie Parker #14)       5      48.35    5100.92      True
           Mystery         What Happened on Beale Street (Secrets of the South Mysteries #2)       5      25.37    2676.54      True
           Mystery                                         The Silkworm (Cormoran Strike #2)       5      23.05    2431.78      True
           Mystery                                                         The Girl You Lost       5      12.29    1296.59      True
           Mystery    The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1)       4      57.70    6087.35      True
           Mystery                                                       The Past Never Ends       4      56.50    5960.75      True
           Mystery                     Murder at the 42nd Street Library (Raymond Ambler #1)       4      54.36    5734.98      True
           Mystery                                                             Sharp Objects       4      47.82    5045.01      True
           Mystery                           The Murder of Roger Ackroyd (Hercule Poirot #4)       4      44.10    4652.55      True
           Mystery                       The Mysterious Affair at Styles (Hercule Poirot #1)       4      24.80    2616.40      True
           Mystery                          Delivering the Truth (Quaker Midwife Mystery #1)       4      20.89    2203.90      True
           Mystery                                             Boar Island (Anna Pigeon #19)       3      59.48    6275.14      True
           Mystery                                                                The Exiled       3      43.45    4583.98      True
           Mystery                                                               Most Wanted       3      35.28    3722.04      True
           Mystery                                          Poisonous (Max Revere Novels #3)       3      26.80    2827.40      True
           Mystery                                        Extreme Prey (Lucas Davenport #26)       3      25.40    2679.70      True
           Mystery                                      Blood Defense (Samantha Brinkman #1)       3      20.30    2141.65      True
           Mystery                                 The Girl In The Ice (DCI Erika Foster #1)       3      15.85    1672.18      True
           Mystery                                                         Playing with Fire       3      13.71    1446.41      True
           Mystery                                            The Last Mile (Amos Decker #2)       2      54.21    5719.16      True
           Mystery                                     In the Woods (Dublin Murder Squad #1)       2      38.38    4049.09      True
           Mystery                                                                 The Widow       2      27.26    2875.93      True
           Mystery                                       Career of Evil (Cormoran Strike #3)       2      24.72    2607.96      True
           Mystery                                   A Study in Scarlet (Sherlock Holmes #1)       2      16.73    1765.02      True
           Mystery                                       1st to Die (Women's Murder Club #1)       1      53.98    5694.89      True
           Mystery                                                      In a Dark, Dark Wood       1      19.63    2070.96      True
           Mystery                                 The Cuckoo's Calling (Cormoran Strike #1)       1      19.21    2026.66      True
           Mystery                                                          A Murder in Time       1      16.64    1755.52      True
           Mystery                                    That Darkness (Gardiner and Renner #1)       1      13.92    1468.56      True
           Mystery                                                Hide Away (Eve Duncan #20)       1      11.84    1249.12      True
           Mystery                                      Tastes Like Fear (DI Marnie Rome #3)       1      10.69    1127.79      True

SIDE-BY-SIDE COMPARISON
================================================================================
pd_read_sql_category_name                                                         pd_read_sql_title  pd_read_sql_rating  pd_read_sql_price_gbp  pd_read_sql_price_inr  pd_read_sql_in_stock pd_merge_category_name                                                            pd_merge_title  pd_merge_rating  pd_merge_price_gbp  pd_merge_price_inr  pd_merge_in_stock
                  Fiction                                                          Digital Fortress                   5                  58.00                6119.00                  True                Fiction                                                          Digital Fortress                5               58.00             6119.00               True
                  Fiction                                             Kitchens of the Great Midwest                   5                  57.20                6034.60                  True                Fiction                                             Kitchens of the Great Midwest                5               57.20             6034.60               True
                  Fiction                                  Finders Keepers (Bill Hodges Trilogy #2)                   5                  53.53                5647.42                  True                Fiction                                  Finders Keepers (Bill Hodges Trilogy #2)                5               53.53             5647.42               True
                  Fiction                                                      The Husband's Secret                   5                  52.51                5539.80                  True                Fiction                                                      The Husband's Secret                5               52.51             5539.80               True
                  Fiction                                      The Regional Office Is Under Attack!                   5                  51.36                5418.48                  True                Fiction                                      The Regional Office Is Under Attack!                5               51.36             5418.48               True
                  Fiction                                              We Love You, Charlie Freeman                   5                  50.27                5303.48                  True                Fiction                                              We Love You, Charlie Freeman                5               50.27             5303.48               True
                  Fiction                                  Crazy Rich Asians (Crazy Rich Asians #1)                   5                  49.13                5183.22                  True                Fiction                                  Crazy Rich Asians (Crazy Rich Asians #1)                5               49.13             5183.22               True
                  Fiction                                               Private Paris (Private #10)                   5                  47.61                5022.85                  True                Fiction                                               Private Paris (Private #10)                5               47.61             5022.85               True
                  Fiction                                   The Silent Sister (Riley MacPherson #1)                   5                  46.29                4883.60                  True                Fiction                                   The Silent Sister (Riley MacPherson #1)                5               46.29             4883.60               True
                  Fiction                                               Inferno (Robert Langdon #4)                   5                  41.00                4325.50                  True                Fiction                                               Inferno (Robert Langdon #4)                5               41.00             4325.50               True
                  Fiction                                                              Bright Lines                   5                  39.07                4121.88                  True                Fiction                                                              Bright Lines                5               39.07             4121.88               True
                  Fiction                                                                Siddhartha                   5                  34.22                3610.21                  True                Fiction                                                                Siddhartha                5               34.22             3610.21               True
                  Fiction                                                           The Time Keeper                   5                  27.88                2941.34                  True                Fiction                                                           The Time Keeper                5               27.88             2941.34               True
                  Fiction                                                            Atlas Shrugged                   5                  26.58                2804.19                  True                Fiction                                                            Atlas Shrugged                5               26.58             2804.19               True
                  Fiction                                                                    Thirst                   5                  17.27                1821.98                  True                Fiction                                                                    Thirst                5               17.27             1821.98               True
                  Fiction                                                           The Silent Wife                   5                  12.34                1301.87                  True                Fiction                                                           The Silent Wife                5               12.34             1301.87               True
                  Fiction                                                        Dear Mr. Knightley                   5                  11.21                1182.66                  True                Fiction                                                        Dear Mr. Knightley                5               11.21             1182.66               True
                  Fiction                                                                     Shtum                   4                  55.84                5891.12                  True                Fiction                                                                     Shtum                4               55.84             5891.12               True
                  Fiction                                                     The Testament of Mary                   4                  52.67                5556.68                  True                Fiction                                                     The Testament of Mary                4               52.67             5556.68               True
                  Fiction                                     The Bourne Identity (Jason Bourne #1)                   4                  42.78                4513.29                  True                Fiction                                     The Bourne Identity (Jason Bourne #1)                4               42.78             4513.29               True
                  Fiction                                                           The Vacationers                   4                  42.15                4446.82                  True                Fiction                                                           The Vacationers                4               42.15             4446.82               True
                  Fiction                                                           Deception Point                   4                  40.32                4253.76                  True                Fiction                                                           Deception Point                4               40.32             4253.76               True
                  Fiction                                                               Sister Dear                   4                  40.20                4241.10                  True                Fiction                                                               Sister Dear                4               40.20             4241.10               True
                  Fiction                                                           The Nightingale                   4                  26.26                2770.43                  True                Fiction                                                           The Nightingale                4               26.26             2770.43               True
                  Fiction                                                         Hystopia: A Novel                   4                  21.96                2316.78                  True                Fiction                                                         Hystopia: A Novel                4               21.96             2316.78               True
                  Fiction                                                      Eight Hundred Grapes                   4                  14.39                1518.14                  True                Fiction                                                      Eight Hundred Grapes                4               14.39             1518.14               True
                  Fiction                                                 I Am Pilgrim (Pilgrim #1)                   4                  10.60                1118.30                  True                Fiction                                                 I Am Pilgrim (Pilgrim #1)                4               10.60             1118.30               True
                  Fiction                                         Last One Home (New Beginnings #1)                   3                  59.98                6327.89                  True                Fiction                                         Last One Home (New Beginnings #1)                3               59.98             6327.89               True
                  Fiction                         The Murder That Never Was (Forensic Instincts #5)                   3                  54.11                5708.60                  True                Fiction                         The Murder That Never Was (Forensic Instincts #5)                3               54.11             5708.60               True
                  Fiction                                                             When I'm Gone                   3                  51.96                5481.78                  True                Fiction                                                             When I'm Gone                3               51.96             5481.78               True
                  Fiction                                                       Memoirs of a Geisha                   3                  49.67                5240.19                  True                Fiction                                                       Memoirs of a Geisha                3               49.67             5240.19               True
                  Fiction                                                                  11/22/63                   3                  48.48                5114.64                  True                Fiction                                                                  11/22/63                3               48.48             5114.64               True
                  Fiction                                                                  The Firm                   3                  45.56                4806.58                  True                Fiction                                                                  The Firm                3               45.56             4806.58               True
                  Fiction                                                          Take Me with You                   3                  45.21                4769.66                  True                Fiction                                                          Take Me with You                3               45.21             4769.66               True
                  Fiction                                                      The Bette Davis Club                   3                  30.66                3234.63                  True                Fiction                                                      The Bette Davis Club                3               30.66             3234.63               True
                  Fiction                                          Eligible (The Austen Project #4)                   3                  27.09                2858.00                  True                Fiction                                          Eligible (The Austen Project #4)                3               27.09             2858.00               True
                  Fiction                                              Still Life with Bread Crumbs                   3                  26.41                2786.26                  True                Fiction                                              Still Life with Bread Crumbs                3               26.41             2786.26               True
                  Fiction                                       The First Hostage (J.B. Collins #2)                   3                  25.85                2727.18                  True                Fiction                                       The First Hostage (J.B. Collins #2)                3               25.85             2727.18               True
                  Fiction                               Cometh the Hour (The Clifton Chronicles #6)                   3                  25.01                2638.56                  True                Fiction                               Cometh the Hour (The Clifton Chronicles #6)                3               25.01             2638.56               True
                  Fiction                                                 The Little Paris Bookshop                   3                  24.73                2609.02                  True                Fiction                                                 The Little Paris Bookshop                3               24.73             2609.02               True
                  Fiction                                                             My Mrs. Brown                   3                  24.48                2582.64                  True                Fiction                                                             My Mrs. Brown                3               24.48             2582.64               True
                  Fiction                                                       Three-Martini Lunch                   3                  23.21                2448.66                  True                Fiction                                                       Three-Martini Lunch                3               23.21             2448.66               True
                  Fiction                                                           Balloon Animals                   3                  17.03                1796.67                  True                Fiction                                                           Balloon Animals                3               17.03             1796.67               True
                  Fiction                                                        The Course of Love                   3                  16.78                1770.29                  True                Fiction                                                        The Course of Love                3               16.78             1770.29               True
                  Fiction                                                                Daredevils                   3                  16.34                1723.87                  True                Fiction                                                                Daredevils                3               16.34             1723.87               True
                  Fiction                                                          Lila (Gilead #3)                   3                  12.47                1315.58                  True                Fiction                                                          Lila (Gilead #3)                3               12.47             1315.58               True
                  Fiction                                                           Miller's Valley                   2                  58.54                6175.97                  True                Fiction                                                           Miller's Valley                2               58.54             6175.97               True
                  Fiction                                                          The Dinner Party                   2                  56.54                5964.97                  True                Fiction                                                          The Dinner Party                2               56.54             5964.97               True
                  Fiction                                                           The Expatriates                   2                  44.58                4703.19                  True                Fiction                                                           The Expatriates                2               44.58             4703.19               True
                  Fiction                                     The Da Vinci Code (Robert Langdon #2)                   2                  22.96                2422.28                  True                Fiction                                     The Da Vinci Code (Robert Langdon #2)                2               22.96             2422.28               True
                  Fiction                                                    Tuesday Nights in 1980                   2                  21.04                2219.72                  True                Fiction                                                    Tuesday Nights in 1980                2               21.04             2219.72               True
                  Fiction                                                          Mothering Sunday                   2                  13.34                1407.37                  True                Fiction                                                          Mothering Sunday                2               13.34             1407.37               True
                  Fiction                                                 The Improbability of Love                   1                  59.45                6271.98                  True                Fiction                                                 The Improbability of Love                1               59.45             6271.98               True
                  Fiction                                            The High Mountains of Portugal                   1                  51.15                5396.32                  True                Fiction                                            The High Mountains of Portugal                1               51.15             5396.32               True
                  Fiction                                                                Soumission                   1                  50.10                5285.55                  True                Fiction                                                                Soumission                1               50.10             5285.55               True
                  Fiction                                               Lies and Other Acts of Love                   1                  45.14                4762.27                  True                Fiction                                               Lies and Other Acts of Love                1               45.14             4762.27               True
                  Fiction                                          Jurassic Park (Jurassic Park #1)                   1                  44.97                4744.34                  True                Fiction                                          Jurassic Park (Jurassic Park #1)                1               44.97             4744.34               True
                  Fiction                                                    My Name Is Lucy Barton                   1                  41.56                4384.58                  True                Fiction                                                    My Name Is Lucy Barton                1               41.56             4384.58               True
                  Fiction                                                          A Man Called Ove                   1                  39.72                4190.46                  True                Fiction                                                          A Man Called Ove                1               39.72             4190.46               True
                  Fiction                                     Mr. Mercedes (Bill Hodges Trilogy #1)                   1                  28.90                3048.95                  True                Fiction                                     Mr. Mercedes (Bill Hodges Trilogy #1)                1               28.90             3048.95               True
                  Fiction                                                                 The Shack                   1                  28.03                2957.16                  True                Fiction                                                                 The Shack                1               28.03             2957.16               True
                  Fiction                                                            The Infinities                   1                  27.41                2891.76                  True                Fiction                                                            The Infinities                1               27.41             2891.76               True
                  Fiction                                                           Big Little Lies                   1                  22.11                2332.60                  True                Fiction                                                           Big Little Lies                1               22.11             2332.60               True
                  Fiction                                                       The Art of Fielding                   1                  22.10                2331.55                  True                Fiction                                                       The Art of Fielding                1               22.10             2331.55               True
                  Fiction                                          Me Before You (Me Before You #1)                   1                  19.02                2006.61                  True                Fiction                                          Me Before You (Me Before You #1)                1               19.02             2006.61               True
       Historical Fiction                                   A Flight of Arrows (The Pathfinders #2)                   5                  55.53                5858.42                  True     Historical Fiction                                   A Flight of Arrows (The Pathfinders #2)                5               55.53             5858.42               True
       Historical Fiction                                                       While You Were Mine                   5                  41.32                4359.26                  True     Historical Fiction                                                       While You Were Mine                5               41.32             4359.26               True
       Historical Fiction                                                              The Red Tent                   5                  35.66                3762.13                  True     Historical Fiction                                                              The Red Tent                5               35.66             3762.13               True
       Historical Fiction                                                              Mrs. Houdini                   5                  30.25                3191.38                  True     Historical Fiction                                                              Mrs. Houdini                5               30.25             3191.38               True
